Index,Name,Position,Age,Team,Birth Date
0,Precious Achiuwa,Forward,25,NYK,1999-09-19
1,Steven Adams,Center,31,HOU,1993-07-20
2,Bam Adebayo,Center-Forward,27,MIA,1997-07-18
3,Ochai Agbaji,Guard,25,TOR,2000-04-20
4,Santi Aldama,Forward-Center,24,MEM,2001-01-10
5,Trey Alexander,Guard,22,DEN,2003-05-02
6,Nickeil Alexander-Walker,Guard,26,MIN,1998-09-02
7,Grayson Allen,Guard,29,PHX,1995-10-08
8,Jarrett Allen,Center,27,CLE,1998-04-21
9,Jose Alvarado,Guard,27,NOP,1998-04-12
10,Kyle Anderson,Forward-Guard,31,MIA,1993-09-20
11,Giannis Antetokounmpo,Forward,30,MIL,1994-12-06
12,Cole Anthony,Guard,25,ORL,2000-05-15
13,OG Anunoby,Forward-Guard,27,NYK,1997-07-17
14,Taran Armstrong,Guard,23,GSW,2002-01-15
15,Deni Avdija,Forward,24,POR,2001-01-03
16,Deandre Ayton,Center,26,POR,1998-07-23
17,Marcus Bagley,Forward,23,FA,2001-10-23
18,Marvin Bagley III,Forward,26,MEM,1999-03-14
19,Patrick Baldwin Jr.,Forward,22,LAC,2002-11-18
20,LaMelo Ball,Guard,23,CHA,2001-08-22
21,Lonzo Ball,Guard,27,CHI,1997-10-27
22,Mo Bamba,Center,27,FA,1998-05-12
23,Paolo Banchero,Forward,22,ORL,2002-11-12
24,Desmond Bane,Guard,26,MEM,1998-06-25
25,Dalano Banton,Forward,25,POR,1999-11-07
26,Dominick Barlow,Forward,22,ATL,2003-05-26
27,Harrison Barnes,Forward,33,SAS,1992-05-30
28,Scottie Barnes,Forward-Guard,23,TOR,2001-08-01
29,RJ Barrett,Forward-Guard,24,TOR,2000-06-14
30,Charles Bassey,Center-Forward,24,SAS,2000-10-28
31,Emoni Bates,Forward,21,CLE,2004-01-28
32,Jamison Battle,Forward,24,TOR,2001-05-10
33,Nicolas Batum,Guard-Forward,36,LAC,1988-12-14
34,Damion Baugh,Guard,24,CHA,2000-08-03
35,Bradley Beal,Guard,31,PHX,1993-06-28
36,Malik Beasley,Guard,28,DET,1996-11-26
37,MarJon Beauchamp,Forward,24,NYK,2000-10-12
38,Reece Beekman,Guard,23,BKN,2001-10-08
39,Saddiq Bey,Guard-Forward,26,WAS,1999-04-09
40,Goga Bitadze,Center-Forward,25,ORL,1999-07-20
41,Bismack Biyombo,Center,32,SAS,1992-08-28
42,Anthony Black,Guard,21,ORL,2004-01-20
43,Bogdan Bogdanović,Guard,32,LAC,1992-08-18
44,Bol Bol,Center-Forward,25,PHX,1999-11-16
45,Adem Bona,Forward,22,PHI,2003-03-28
46,Devin Booker,Guard,28,PHX,1996-10-30
47,Brandon Boston,Guard,23,NOP,2001-11-28
